date_takeoff,is_domestic,n
2019-07-13,TRUE,1621
2019-07-14,FALSE,393
2019-07-14,TRUE,1502
2019-07-15,FALSE,374
2019-07-15,TRUE,1869
2019-07-16,FALSE,368
2019-07-16,TRUE,1834
2019-07-17,FALSE,373
2019-07-17,TRUE,1873
2019-07-18,FALSE,377
2019-07-18,TRUE,1897
2019-07-19,FALSE,374
2019-07-19,TRUE,1931
2019-07-20,FALSE,383
2019-07-20,TRUE,1555
2019-07-21,FALSE,390
2019-07-21,TRUE,1533
2019-07-22,FALSE,384
2019-07-22,TRUE,1843
2019-07-23,FALSE,367
2019-07-23,TRUE,1859
2019-07-24,FALSE,370
2019-07-24,TRUE,1877
2019-07-25,FALSE,383
2019-07-25,TRUE,1935
2019-07-26,FALSE,391
2019-07-26,TRUE,1940
2019-07-27,FALSE,400
2019-07-27,TRUE,1623
2019-07-28,FALSE,408
2019-07-28,TRUE,1491
2019-07-29,FALSE,367
2019-07-29,TRUE,1793
2019-07-30,FALSE,354
2019-07-30,TRUE,1813
2019-07-31,FALSE,378
2019-07-31,TRUE,1838
2019-08-01,FALSE,381
2019-08-01,TRUE,1803
2019-08-02,FALSE,390
2019-08-02,TRUE,1791
2019-08-03,FALSE,398
2019-08-03,TRUE,1407
2019-08-04,FALSE,384
2019-08-04,TRUE,1385
2019-08-05,FALSE,358
2019-08-05,TRUE,1705
2019-08-06,FALSE,362
2019-08-06,TRUE,1790
2019-08-07,FALSE,366
2019-08-07,TRUE,1765
2019-08-08,FALSE,382
2019-08-08,TRUE,1865
2019-08-09,FALSE,390
2019-08-09,TRUE,1861
2019-08-10,FALSE,396
2019-08-10,TRUE,1523
2019-08-11,FALSE,400
2019-08-11,TRUE,1452
2019-08-12,FALSE,365
2019-08-12,TRUE,1763
2019-08-13,FALSE,337
2019-08-13,TRUE,1771
2019-08-14,FALSE,358
2019-08-14,TRUE,1745
2019-08-15,FALSE,365
2019-08-15,TRUE,1796
2019-08-16,FALSE,358
2019-08-16,TRUE,1909
2019-08-17,FALSE,364
2019-08-17,TRUE,1508
2019-08-18,FALSE,370
2019-08-18,TRUE,1446
2019-08-19,FALSE,374
2019-08-19,TRUE,1710
2019-08-20,FALSE,327
2019-08-20,TRUE,1736
2019-08-21,FALSE,357
2019-08-21,TRUE,1811
2019-08-22,FALSE,369
2019-08-22,TRUE,1821
2019-08-23,FALSE,359
2019-08-23,TRUE,1859
2019-08-24,FALSE,362
2019-08-24,TRUE,1467
2019-08-25,FALSE,379
2019-08-25,TRUE,1446
2019-08-26,FALSE,352
2019-08-26,TRUE,1796
2019-08-27,FALSE,358
2019-08-27,TRUE,1811
2019-08-28,FALSE,355
2019-08-28,TRUE,1800
2019-08-29,FALSE,380
2019-08-29,TRUE,1839
2019-08-30,FALSE,370
2019-08-30,TRUE,1841
2019-08-31,FALSE,390
2019-08-31,TRUE,1439
2019-09-01,FALSE,350
2019-09-01,TRUE,1284
2019-09-02,FALSE,348
2019-09-02,TRUE,1817
2019-09-03,FALSE,306
2019-09-03,TRUE,1645
2019-09-04,FALSE,346
2019-09-04,TRUE,1795
2019-09-05,FALSE,360
2019-09-05,TRUE,1806
2019-09-06,FALSE,351
2019-09-06,TRUE,1900
2019-09-07,FALSE,392
2019-09-07,TRUE,1536
2019-09-08,FALSE,408
2019-09-08,TRUE,1482
2019-09-09,FALSE,358
2019-09-09,TRUE,1843
2019-09-10,FALSE,359
2019-09-10,TRUE,1900
2019-09-11,FALSE,359
2019-09-11,TRUE,1812
2019-09-12,FALSE,357
2019-09-12,TRUE,1825
2019-09-13,FALSE,371
2019-09-13,TRUE,1858
2019-09-14,FALSE,389
2019-09-14,TRUE,1515
2019-09-15,FALSE,388
2019-09-15,TRUE,1417
2019-09-16,FALSE,360
2019-09-16,TRUE,1862
2019-09-17,FALSE,353
2019-09-17,TRUE,1821
2019-09-18,FALSE,347
2019-09-18,TRUE,1854
2019-09-19,FALSE,357
2019-09-19,TRUE,1812
2019-09-20,FALSE,364
2019-09-20,TRUE,1851
2019-09-21,FALSE,370
2019-09-21,TRUE,1507
2019-09-22,FALSE,385
2019-09-22,TRUE,1421
2019-09-23,FALSE,365
2019-09-23,TRUE,1857
2019-09-24,FALSE,347
2019-09-24,TRUE,1857
2019-09-25,FALSE,352
2019-09-25,TRUE,1818
2019-09-26,FALSE,349
2019-09-26,TRUE,1847
2019-09-27,FALSE,364
2019-09-27,TRUE,1964
2019-09-28,FALSE,361
2019-09-28,TRUE,1656
2019-09-29,FALSE,398
2019-09-29,TRUE,1539
2019-09-30,FALSE,344
2019-09-30,TRUE,1931
2019-10-01,FALSE,355
2019-10-01,TRUE,1895
2019-10-02,FALSE,330
2019-10-02,TRUE,1972
2019-10-03,FALSE,339
2019-10-03,TRUE,1989
2019-10-04,FALSE,355
2019-10-04,TRUE,2031
2019-10-05,FALSE,369
2019-10-05,TRUE,1637
